date,data
19990101,NaN
19990104,-0.000213705643452257
19990105,0.000127140459958147
19990106,-0.000871328351303469
19990107,0.000541226023988072
19990108,-0.00137068834106993
19990111,-0.0012865569714899
19990112,0.00104389043192353
19990113,0.00224317819734791
19990114,0.000396967583748177
19990115,0.000049931316123195
19990118,0.000326060053153504
19990119,-0.000880384557636324
19990120,-0.00157225121852735
19990121,0.00107963181204233
19990122,0.000699051982569993
19990125,0.00004654542759724
19990126,0.000010966408588123
19990127,-0.000325838090718649
19990128,0.00006650852742251
19990129,-0.000575003720600996
19990201,-0.000672439792887811
19990202,-0.000386177003442198
19990203,0.000030524872938748
19990204,-0.00145850676633134
19990205,-0.000117144018826429
19990208,0.000009099160945248
19990209,0.00036297523034649
19990210,-0.000000580748008136
19990211,-0.000626249820977766
19990212,-0.000743252607105151
19990215,-0.000001236249890756
19990216,-0.000919968743532617
19990217,0.000545837404070124
19990218,-0.000065923517094776
19990219,-0.000118421395728868
19990222,-0.000148518764481898
19990223,-0.000961178106083125
19990224,-0.000860594134978987
19990225,-0.00226287002415808
19990226,0.000346432673530746
19990301,-0.00157575644550875
19990302,0.00103509897938218
19990303,-0.000393729541625716
19990304,-0.000600723249157835
19990305,0.00187473251297344
19990308,0.000219632097799554
19990309,0.000047616231461987
19990310,0.00109654427570535
19990311,-0.0000605246624122
19990312,0.000489181147228945
19990315,0.000591770143045019
19990316,0.0004543279316126
19990317,-0.000215375908259228
19990318,0.00037209029251663
19990319,-0.000266342448759172
19990322,-0.000829678414685242
19990323,0.000289721970044784
19990324,0.000583360237018783
19990325,-0.00029877204068644
19990326,0.000814111179062035
19990329,-0.000334479079416934
19990330,-0.000616133262697924
19990331,0.000239633943996057
19990401,-0.000123223279275056
19990402,-0.000000004554238413
19990405,-0.000000013858665377
19990406,0.00145550166611437
19990407,0.000227989299350418
19990408,-0.000009627591848429
19990409,0.00111269184698537
19990412,0.000000767639513966
19990413,-0.000806273800161499
19990414,0.000009885041025504
19990415,-0.000828954021749776
19990416,-0.000242955681954026
19990419,-0.000697597631021161
19990420,0.00136054156617729
19990421,0.000008855693154782
19990422,-0.000762362195862848
19990423,-0.000236684924725294
19990426,-0.000375582296383791
19990427,0.000644586288578734
19990428,-0.00027172763226429
19990429,0.00128572882823706
19990430,-0.00126437149948781
19990503,-0.00000002998689428
19990504,-0.00116880304037653
19990505,0.000320109925257731
19990506,-0.000813107471499778
19990507,0.000368384889174737
19990510,-0.000160203035345562
19990511,-0.000164303856153153
19990512,-0.000004647463143151
19990513,0.000898839552356955
19990514,-0.00309803855986461
19990517,0.000093304522698391
19990518,0.000362849973958377
19990519,-0.00175595939586803
19990520,-0.000104086879918408
19990521,0.000661148164167237
19990524,0.000268591028814651
19990525,-0.000248830390362218
19990526,-0.000117565117881466
19990527,-0.00233722765963495
19990528,-0.00038017002948096
19990531,-0.000000059390325136
19990601,-0.00153477701142684
19990602,-0.000034570031403527
19990603,0.000230813013817761
19990604,0.000255949596949946
19990607,0.000080514993021376
19990608,-0.000074696246579103
19990609,-0.00129959507765001
19990610,-0.000756832730584256
19990611,0.00012917213233171
19990614,-0.000325449788131677
19990615,0.000773508167085759
19990616,0.000853269761373214
19990617,0.00164948456122493
19990618,0.000102440302901994
19990621,-0.00156623289669415
19990622,-0.000426751895712521
19990623,-0.00111834167672973
19990624,-0.000530542817347776
19990625,0.000366892945640162
19990628,0.000277832060776465
19990629,-0.000042226486243177
19990630,-0.000878542509154361
19990701,0.00209885418078927
19990702,0.000980362788698841
19990705,0.000001295259845182
19990706,-0.000679624044088349
19990707,-0.00072750209018711
19990708,0.000252354340882897
19990709,0.000877816238995548
19990712,0.000110384400942177
19990713,0.000798935637432374
19990714,-0.000459287480574586
19990715,-0.000394563909835704
19990716,0.000823541506028678
19990719,0.000366930246743541
19990720,0.000453331112578008
19990721,0.000516696254497748
19990722,-0.00167797643956201
19990723,-0.00167992135326648
19990726,-0.00081210083384702
19990727,0.000569556669334322
19990728,0.000201498869471923
19990729,-0.00191352239075476
19990730,-0.000384112341732569
19990802,-0.000723124653954189
19990803,-0.000355828340177089
19990804,0.000364075747267846
19990805,0.000692246272919886
19990806,-0.00204631833355227
19990809,-0.00112441545472158
19990810,-0.000678436344427522
19990811,0.000221500909945909
19990812,0.000947632249318566
19990813,0.00182074600176701
19990816,0.000851344983645901
19990817,0.00135012551384797
19990818,-0.000649665401891619
19990819,0.000395518960695937
19990820,0.000630733339701425
19990823,-0.00052310601093255
19990824,-0.00020320754330432
19990825,0.00223866459684933
19990826,-0.000578159058828577
19990827,-0.000795252518908978
19990830,-0.000000045309760068
19990831,-0.00219719788203288
19990901,0.00022557880054161
19990902,-0.00064592900130963
19990903,0.00206100340173297
19990906,-0.000132816894716229
19990907,-0.000856202749483604
19990908,0.000708763154389262
19990909,-0.000092335756434109
19990910,0.00109848651742529
19990913,-0.00124504393168367
19990914,0.000691619779507089
19990915,0.000808083676286843
19990916,0.000554678411158137
19990917,0.000385655463740081
19990920,-0.00048115187156802
19990921,-0.000416645810039341
19990922,0.000644966911892835
19990923,-0.000002655922542382
19990924,0.00203027798278945
19990927,-0.00090981212213343
19990928,-0.000045204492803067
19990929,-0.000401509807353932
19990930,0.000507543723483551
19991001,-0.00189615556869086
19991004,0.000074704751933403
19991005,0.00030499596385682
19991006,-0.00183972889556291
19991007,-0.000273921940988544
19991008,0.000476303414879385
19991011,-0.000268951886990163
19991012,-0.000646507276180126
19991013,0.00053335064978987
19991014,-0.00185586384568142
19991015,-0.00004039530089438
