date,coupon,price
19960206,7,100.5973276
19960206,7.5,102.2860345
19960206,8,103.4575
19960206,8.5,104.3655603
19960206,9,105.5171121
19960206,9.5,107.132069
19960207,5.5,93.34
19960207,6,96.423125
19960207,6.5,98.658125
19960207,7,100.658125
19960207,7.5,102.341875
19960207,8,103.484375
19960207,8.5,104.3925
19960207,9,105.514375
19960207,9.5,107.13
19960208,5.5,93.41
19960208,6,96.48181034
19960208,6.5,98.7162931
19960208,7,100.7149138
19960208,7.5,102.4037069
19960208,8,103.5264655
19960208,8.5,104.4037069
19960208,9,105.5289655
19960208,9.5,107.3775862
19960209,5.5,93.41
19960209,6,96.58463362
19960209,6.5,98.80508621
19960209,7,100.8185991
19960209,7.5,102.4913793
19960209,8,103.6153017
19960209,8.5,104.5228017
19960209,9,105.6514009
19960209,9.5,107.4358621
19960212,5.5,93.41
19960212,6,96.88448276
19960212,6.5,99.07489224
19960212,7,101.0384698
19960212,7.5,102.665625
19960212,8,103.7626078
19960212,8.5,104.6942888
19960212,9,105.7080819
19960212,9.5,107.5496552
19960213,5.5,93.53
19960213,6,96.98086207
19960213,6.5,99.19663793
19960213,7,101.1613793
19960213,7.5,102.7277586
19960213,8,103.79
19960213,8.5,104.7246552
19960213,9,105.7403017
19960213,9.5,107.5475862
19960214,5.5,93.22
19960214,6,96.63799569
19960214,6.5,98.91547414
19960214,7,100.9106466
19960214,7.5,102.5087716
19960214,8,103.602069
19960214,8.5,104.5673491
19960214,9,105.6692457
19960214,9.5,107.5455172
19960215,5.5,92.84
19960215,6,96.22862069
19960215,6.5,98.50556034
19960215,7,100.5594397
19960215,7.5,102.2472845
19960215,8,103.4026724
19960215,8.5,104.3715948
19960215,9,105.482931
19960215,9.5,107.5434483
19960216,5.5,92.38
19960216,6,95.89366379
19960216,6.5,98.17471983
19960216,7,100.2647845
19960216,7.5,102.0194397
19960216,8,103.2694397
19960216,8.5,104.2383836
19960216,9,105.3814224
19960216,9.5,107.4813793
19960220,5.5,92.38
19960220,6,94.77047414
19960220,6.5,97.14659483
19960220,7,99.35665948
19960220,7.5,101.301444
19960220,8,102.7327802
19960220,8.5,103.8723491
19960220,9,105.118556
19960220,9.5,107.4731034
19960221,5.5,92.38
19960221,6,94.76724138
19960221,6.5,97.14344828
19960221,7,99.3837931
19960221,7.5,101.3765517
19960221,8,102.8383621
19960221,8.5,103.9408621
19960221,9,105.189181
19960221,9.5,107.4710345
19960222,5.5,92.69
19960222,6,95.09903017
19960222,6.5,97.44439655
19960222,7,99.653125
19960222,7.5,101.5912716
19960222,8,103.0216595
19960222,8.5,104.1144397
19960222,9,105.3185345
19960222,9.5,107.5937931
19960223,5.5,92.44
19960223,6,94.82258621
19960223,6.5,97.19931034
19960223,7,99.43241379
19960223,7.5,101.4097845
19960223,8,102.8761207
19960223,8.5,104.0334052
19960223,9,105.2550431
19960223,9.5,107.5913793
19960226,5.5,92.22
19960226,6,94.59359914
19960226,6.5,97.03232759
19960226,7,99.32394397
19960226,7.5,101.2931034
19960226,8,102.7622629
19960226,8.5,103.9604095
19960226,9,105.2094612
19960226,9.5,107.5206897
19960227,5.5,91.91
19960227,6,94.21702586
19960227,6.5,96.7174569
19960227,7,99.06961207
19960227,7.5,101.0799569
19960227,8,102.63125
19960227,8.5,103.8950431
19960227,9,105.1969828
19960227,9.5,107.5186207
19960228,5.5,91.59
19960228,6,93.86234914
19960228,6.5,96.39359914
19960228,7,98.77540948
19960228,7.5,100.8370043
19960228,8,102.4638147
19960228,8.5,103.7754095
19960228,9,105.1327371
19960228,9.5,107.4565517
19960229,5.5,90.5
19960229,6,93.85310345
19960229,6.5,96.3649569
19960229,7,98.73801724
19960229,7.5,100.8109483
19960229,8,102.4492241
19960229,8.5,103.7949138
19960229,9,105.1301293
19960229,9.5,107.4544828
19960301,5.5,91.31
19960301,6,94.66474138
19960301,6.5,97.08090517
19960301,7,99.33737069
19960301,7.5,101.2877586
19960301,8,102.7996552
19960301,8.5,104.0804095
19960301,9,105.2862284
19960301,9.5,107.5124138
19960304,5.5,91.75
19960304,6,95.15362069
19960304,6.5,97.47900862
19960304,7,99.70155172
19960304,7.5,101.5705172
19960304,8,102.965
19960304,8.5,104.1363793
19960304,9,105.3486638
19960304,9.5,107.5672414
19960305,5.5,91.41
19960305,6,94.8199569
19960305,6.5,97.2118319
19960305,7,99.44728448
19960305,7.5,101.3692457
19960305,8,102.8339224
19960305,8.5,104.0505172
19960305,9,105.2816595
19960305,9.5,107.5648276
19960306,5.5,91
19960306,6,94.33323276
19960306,6.5,96.75323276
19960306,7,99.0349569
19960306,7.5,101.0349569
19960306,8,102.6144828
19960306,8.5,103.9542672
19960306,9,105.2031897
19960306,9.5,107.502069
19960307,5.5,90.78
19960307,6,94.158125
19960307,6.5,96.591875
19960307,7,98.908125
19960307,7.5,100.908125
19960307,8,102.515
19960307,8.5,103.84625
19960307,9,105.06125
19960307,9.5,107.41
19960308,5.5,89
19960308,6,92.08939453
19960308,6.5,94.6862207
19960308,7,97.2152832
19960308,7.5,99.55549805
