date,Price,Duration,Return
2011-05-24,123.07812,5.85584,0.0007812499999999556
2011-05-25,123.14062,5.85619,0.0006249999999999867
2011-05-26,123.75,5.86091,0.006093749999999898
2011-05-27,123.85938,5.86165,0.0010937499999998934
2011-05-31,124.03125,5.86296,0.0017187499999999911
2011-06-01,124.73438,5.8683,0.007031250000000044
2011-06-02,124.39062,5.86569,-0.0034374999999999822
2011-06-03,124.73438,5.8682300000000005,0.003593750000000062
2011-06-06,124.75,5.86831,0.00015625000000007994
2011-06-07,124.65625,5.86771,-0.0007812499999999556
2011-06-08,125.09375,5.87102,0.004531250000000098
2011-06-09,124.65625,5.86775,-0.004531250000000098
2011-06-10,124.92188,5.86961,0.0024999999999999467
2011-06-13,124.76562,5.86849,-0.0017187499999999911
2011-06-14,123.98438,5.8625,-0.008124999999999938
2011-06-15,125.10938,5.87093,0.01156249999999992
2011-06-16,125.57812,5.874619999999999,0.004531250000000098
2011-06-17,125.375,5.872999999999999,-0.002343750000000089
2011-06-20,125.3125,5.8724099999999995,-0.0009375000000000355
2011-06-21,123.64062,5.80269,-0.0017187499999999911
2011-06-22,123.65625,5.80265,0.00015625000000007994
2011-06-23,124.34375,5.8082199999999995,0.0068749999999999645
2011-06-24,124.73438,5.81122,0.00390625
2011-06-27,124.40625,5.8086199999999995,-0.0032812499999999023
2011-06-28,123.32812,5.80007,-0.010781249999999964
2011-06-29,122.84375,5.79657,-0.0048437500000000355
2011-06-30,122.32812,5.79263,-0.005156249999999973
2011-07-01,121.98438,5.7898,-0.0034374999999999822
2011-07-05,122.65625,5.79516,0.006718750000000107
2011-07-06,122.98438,5.79775,0.0032812499999999023
2011-07-07,122.46875,5.79368,-0.005156249999999973
2011-07-08,123.71875,5.80337,0.012499999999999956
2011-07-11,124.54688,5.80932,0.008281250000000018
2011-07-12,124.625,5.80996,0.0007812499999999556
2011-07-13,124.79688,5.81155,0.0017187499999999911
2011-07-14,124.4375,5.80863,-0.003593750000000062
2011-07-15,124.85938,5.81177,0.004218749999999938
2011-07-18,124.92188,5.81225,0.0006250000000000977
2011-07-19,124.92188,5.81235,0.0
2011-07-20,124.59375,5.80986,-0.0032812499999999023
2011-07-21,124.0,5.80518,-0.005937499999999929
2011-07-22,124.32812,5.80764,0.0032812499999999023
2011-07-25,124.125,5.80624,-0.002031249999999929
2011-07-26,124.53125,5.80936,0.00406250000000008
2011-07-27,124.23438,5.80703,-0.0029687499999999645
